zrodlo,qid,pytanie,gold_answer,aliases,passaz,passaz_url,dataset_config,dataset_split,source_question_id
triviaqa,triviaqa_sfq_178,What general name is given to a rotating star which emits a regular beat of radiation?,PULSAR,PULSAR,,,rc.nocontext,validation,sfq_178
triviaqa,triviaqa_sfq_17752,Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,JIM LAKER,JIM LAKER|James Laker,,,rc.nocontext,validation,sfq_17752
triviaqa,triviaqa_qb_2689,Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,Farthings,Farthings,,,rc.nocontext,validation,qb_2689
triviaqa,triviaqa_sfq_6199,Who is the patron saint of dancers?,St Vitus,"St Vitus|Vitus (saint)|Sts. Vitus, Modestus, and Crescentia|Vitus|Modestus, Vitus, and Crescentia|Crescentia, Modestus, and Vitus, Saints|Vitus, Modestus and Crescentia|St. Vitus|Modestus, Vitus, and Crescentia, Saints|Crescentia, Modestus, and Vitus|Vít|Saint Vitus Day|Vitus, Modestus, and Crescentia|Saint Vitus",,,rc.nocontext,validation,sfq_6199
triviaqa,triviaqa_qg_607,"Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?",Karl Marx and Friedrich Engels,Karl Marx and Friedrich Engels,,,rc.nocontext,validation,qg_607
triviaqa,triviaqa_bb_912,The fortified wine drink Sherry is named after what town?,Jerez,"Jerez|Jerez, Spain|Jerez de la Frontera (Cádiz)|Jerez de la Frontera, Cadiz|Jerez de la Frontera|Emirate of jerez|Jerez de la Frontera, Spain|Xeres (Jerez) de la Frontera|Jerez de la Frontera, Cádiz|History of Jerez de la Frontera",,,rc.nocontext,validation,bb_912
triviaqa,triviaqa_dpql_4760,The nickname for Dumfries became the name of which Scottish football club?,Queen of the South,Queen of the South|Queen of the South FC|Queen of the South F. C.|The Mighty Queen of the South|Queen of the South F C|Queen of the South F.C.,,,rc.nocontext,validation,dpql_4760
triviaqa,triviaqa_sfq_22481,The revolutionary group the Sandinistas were active in which country?,Nicaragua,"Nicaragua|Administrative divisions of Nicaragua|Bibliography of nicaragua|Subdivisions of Nicaragua|Health in Nicaragua|Republica De Nicaragua|Etymology of Nicaragua|República de Nicaragua|Sport in Nicaragua|Republic of Nicaragua|The Republic of Nicaragua|Nicaragua, Central America",,,rc.nocontext,validation,sfq_22481
triviaqa,triviaqa_sfq_20557,Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,Steven Norris,Steven Norris|Steve Norris|Steven John Norris|Stephen Norris,,,rc.nocontext,validation,sfq_20557
triviaqa,triviaqa_qz_4047,"When Mr Benn was looking for an adventure, what type of shop did he visit?",A fancy dress shop,A fancy dress shop,,,rc.nocontext,validation,qz_4047
triviaqa,triviaqa_qf_1928,What was made and repaired by a Wainwright?,Wagons,Wagons,,,rc.nocontext,validation,qf_1928
triviaqa,triviaqa_qw_1225,"The War of the Triple Alliance (1864 - 1870) was fought between the allied countries of Argentina, Brazil, and Uruguay and which other country?",Paraguay,Paraguay|Administrative divisions of Paraguay|Culture of Paraguay|Etymology of Paraguay|Republic of Paraguay|Republic Paraguay|Name of Paraguay|República del Paraguay,,,rc.nocontext,validation,qw_1225
triviaqa,triviaqa_jp_2252,What city will host the 2016 Olympics?,Rio de Janeiro,"Rio de Janeiro|São Sebastião do Rio de Janeiro|Rio de Janiero|Rio di Janeiro|Rio de Janeiro (city)|Rio, Brazil|Rio de Janero|Rio de Janeiro (Brazil)|Rio Janeiro|Río de Janeiro, Brazil|Rio de Janeiro city|Río de Janeiro|R. Janeiro|Rio-de-Janeiro|R Janeiro|Rio de Jainero|Rio de Janeiro, Brazil|Rio de Janerio|Sao Sebastiao do Rio de Janeiro|Rio de Janiero, Brazil|Rio de Janeiro, RJ|Rio de Janeiro, Rio de Janeiro",,,rc.nocontext,validation,jp_2252
triviaqa,triviaqa_qb_7436,Mount Entoto is the highest peak overlooking which African capital city?,Addis Ababa,"Addis Ababa|Addis Ababa, ET|Addis Abba, Ethiopia|Addis Abba|Addis Abeba|Addis Ababa Museum|Addis Ababa, Ethiopia|Addis-Abeba|Addis Adaba|Districts of Addis Ababa|Adis Ababa|The Grand Anwar Mosque (Addis Ababa)",,,rc.nocontext,validation,qb_7436
triviaqa,triviaqa_sfq_21619,Which company produced the Hastings and Herald aircraft?,Handley-Page,"Handley-Page|Handley Page Ltd|Handley Page, Limited|Handley Page Limited|Handley Page Aircraft Company|Handley Page (Reading)|Handley-Page Aircraft Company|Handley Page O/100 and O/400|Handley Page|Handley Page Slat|O/100 and O/400, Handley Page",,,rc.nocontext,validation,sfq_21619
triviaqa,triviaqa_sfq_10251,Buenos Aires is located on the estuary of which river?,RIVER PLATE,RIVER PLATE|The River Plate (disambiguation)|The River Plate|River Plate (disambiguation),,,rc.nocontext,validation,sfq_10251
triviaqa,triviaqa_qb_1448,What was the name of the Prime Minister of Egypt who was assassinated in 1910?,Boutros Ghali,"Boutros Ghali|Boutros Ghali Pasha|Boutros, Pasha Ghali",,,rc.nocontext,validation,qb_1448
triviaqa,triviaqa_wh_2443,Cathay is a poetic name for which far eastern country?,CHINA,"CHINA|China (Peking)|Socialist China|PRC|P. R. of China|People's Republic Of China|The People's Republic of China|Territorial disputes of China|China PRC|People's repuublic of china|China (PRC)|China (People's Republic)|People's Republic of China (Mainland China)|People' Republic of China|People' s Republic of China|P.R. of China|China, People's Republic of|Peoples republic of China|Red China (modern)|State of China|中国|P.R.China|People's Republic or China|China, the People's Republic of|Nation of China|People’s Republic of China|China, PRC|Modern day China|中华|Homes in china|China PR|PRC (China)|中國|(The People's Republic of) China|The People’s Republic of China|China (Republic : 1949- )|China People's Republic|Pr china|Land of China|P.R. China|中華|PR of China|Communist China (modern)|P. R. China|People's Republic of China (PRC)|Peoples' Republic of China|The Peoples Republic of China",,,rc.nocontext,validation,wh_2443
triviaqa,triviaqa_qb_6004,Which British monarch was the first Head of the Commonwealth?,King George VI,"King George VI|HM King George VI|George VI, King of England|George VI of Scotland|George VI of Britain|George VI of the United Kingdom|George VI of Great Britain and Ireland|George VI of England|George vi|George VI of Ireland|Albert Frederick Arthur George|King george the 6th|George VI of the UK|George VI of India|George VI of Great Britain|George VI, Emperor|King George V1|George the Sixth|George VI of Canada|King George VI of the United Kingdom",,,rc.nocontext,validation,qb_6004
